user_id,username,email,first_name,last_name,date_of_birth,registration_date,last_login,is_active,user_type
1,user1,user1@example.com,First1,Last1,1971-02-05,2023-03-15 12:27:12.998255,2024-07-16 12:27:12.998257,False,regular
2,user2,user2@example.com,First2,Last2,2000-01-12,2022-12-30 12:27:12.998264,2024-06-30 12:27:12.998266,True,premium
3,user3,user3@example.com,First3,Last3,1985-07-03,2024-03-12 12:27:12.998269,2024-07-18 12:27:12.998270,False,premium
4,user4,user4@example.com,First4,Last4,1999-07-12,2023-12-30 12:27:12.998273,2024-07-03 12:27:12.998275,False,admin
5,user5,user5@example.com,First5,Last5,1968-12-27,2023-10-01 12:27:12.998278,2024-07-14 12:27:12.998279,True,regular
6,user6,user6@example.com,First6,Last6,1961-05-08,2024-02-25 12:27:12.998282,2024-07-15 12:27:12.998283,False,regular
7,user7,user7@example.com,First7,Last7,1998-06-13,2022-10-09 12:27:12.998286,2024-06-26 12:27:12.998287,True,regular
8,user8,user8@example.com,First8,Last8,1956-03-07,2022-10-05 12:27:12.998290,2024-07-09 12:27:12.998291,True,admin
9,user9,user9@example.com,First9,Last9,1958-10-24,2023-06-15 12:27:12.998294,2024-07-06 12:27:12.998295,False,premium
10,user10,user10@example.com,First10,Last10,1985-07-03,2022-08-08 12:27:12.998298,2024-07-21 12:27:12.998299,False,premium
11,user11,user11@example.com,First11,Last11,1967-07-23,2023-07-26 12:27:12.998302,2024-07-03 12:27:12.998302,False,premium
12,user12,user12@example.com,First12,Last12,1972-06-11,2023-12-15 12:27:12.998305,2024-07-01 12:27:12.998306,True,regular
13,user13,user13@example.com,First13,Last13,1969-03-22,2023-10-15 12:27:12.998309,2024-07-24 12:27:12.998310,False,admin
14,user14,user14@example.com,First14,Last14,1986-07-20,2023-08-30 12:27:12.998313,2024-07-17 12:27:12.998314,True,premium
15,user15,user15@example.com,First15,Last15,1957-06-09,2023-01-14 12:27:12.998317,2024-07-01 12:27:12.998318,False,regular
16,user16,user16@example.com,First16,Last16,1992-04-18,2022-01-29 12:27:12.998332,2024-07-08 12:27:12.998333,True,admin
17,user17,user17@example.com,First17,Last17,1965-11-17,2022-05-09 12:27:12.998338,2024-07-01 12:27:12.998339,True,admin
18,user18,user18@example.com,First18,Last18,1971-08-04,2022-12-01 12:27:12.998342,2024-07-24 12:27:12.998343,True,premium
19,user19,user19@example.com,First19,Last19,1996-01-11,2024-07-15 12:27:12.998346,2024-07-21 12:27:12.998347,False,admin
